Security ID,Name,New,For,Old,Qty Offered,Qty Subscribed,Date Ex,Allotment Date,Date Of Renunciation,Cum Price,Ex Price,Issue Price
GRAN.N.0000,GRAIN ELEVATORS ,1,:,3,"15,000,000","15,000,000",NOV-15-1994,DEC-08-1994,DEC-29-1994,180.00,98.00,25.00
GREG.N.0000,ENVI. RESOURCES ,15,:,1,"16,299,450","16,299,450",FEB-17-1999,MAR-02-1999,MAR-23-1999,18.00,2.25,2.00
GREG-N-0000,ENVI. RESOU,1,:,1,"17,386,080","17,386,080",12-Feb-09,11-Feb-09,5-Mar-09,22.7,23.2, 20.00 
GREG-N-0000,ENVI. RESOU,3,:,1,"104,316,480","104,316,480",8-Jul-09,7-Jul-09,27-Jul-09,28,21.7, 20.00 
GREG-N-0000,ENVI. RESOU,1,:,2,69544320,69544320,31-Mar-10,30-Mar-10,23-Apr-10,223.5,102.5,
GUAR.N.0000,CEYLON GUARDIAN ,1,:,7,"380,453","380,453",FEB-26-2002,MAR-11-2002,APR-01-2002,115.00,115.00,80.00
GUAR.N.0000,CEYLON GUARDIAN ,1,:,5,"760,906","760,906",JUN-19-2003,JUL-01-2003,JUL-21-2003,179.00,170.00,80.00
GUAR.N.0000,CEYLON GUARDIAN ,1,:,2,"2,663,172","2,663,172",JUL-07-2004,JUL-19-2004,AUG-09-2004,404.00,277.75,80.00
GUAR.N.0000,CEYLON GUARDIAN ,1,:,3,"3,550,896","3,550,896",MAR-23-2005,APR-05-2005,APR-29-2005,228.00,199.75,80.00
HAPU.N.0000,HAPUGASTENNE    ,1,:,1,"20,000,000","20,000,000",AUG-01-2000,AUG-18-2000,SEP-08-2000,8.25,8.25,10.00
HASU-N-0000,HNB ASSURAN,1,:,7,"6,250,000","6,250,000",12-Apr-11,11-Apr-11,5-May-11,81.80,78.50,62.50
HAYL.N.0000,HAYLEYS         ,1,:,5,"2,500,000","2,500,000",FEB-11-1994,MAR-02-1994,MAR-23-1994,315.00,305.00,160.00
HAYL.N.0000,HAYLEYS         ,1,:,11,"3,000,000","3,000,000",OCT-10-2000,OCT-23-2000,NOV-13-2000,103.00,95.00,10.00
HAYL.N.0000,HAYLEYS         ,1,:,9,"4,000,000","4,000,000",JUL-20-2001,AUG-01-2001,AUG-22-2001,77.50,73.00,15.00
HAYL.N.0000,HAYLEYS         ,1,:,8,"5,000,000","5,000,000",SEP-09-2002,SEP-19-2002,OCT-10-2002,160.00,160.00,20.00
HAYL.N.0000,HAYLEYS         ,1,:,9,"5,000,000","5,000,000",AUG-29-2003,SEP-11-2003,OCT-02-2003,198.00,179.75,20.00
