Date,Open,High,Low,Close,Volume,Adj Close
2004-10-12,1445.43,1456.97,1370.43,1451.37,9239200,1451.37
2004-10-11,1449.19,1452.67,1445.34,1445.43,5587600,1445.43
2004-10-08,1444.7,1452.23,1444.7,1449.19,12276600,1449.19
2004-10-07,1448.47,1449.61,1444.77,1444.77,8295400,1444.77
2004-10-06,1448.49,1454.33,1370.43,1448.47,5206200,1448.47
2004-10-05,1451.23,1457.8,1370.43,1448.49,6731200,1448.49
2004-10-04,1449.4,1456.38,1448.9,1451.23,6007600,1451.23
2004-10-01,1450.82,1456.67,1370.43,1449.4,7492400,1449.4
2004-09-30,1443.04,1454.88,1370.43,1450.82,20448400,1450.82
2004-09-29,1449.59,1454.84,1443.03,1443.03,8394600,1443.03
2004-09-27,1453.41,1457.86,1449.53,1449.53,8535200,1449.53
2004-09-24,1443.65,1456.59,1370.43,1453.41,11569400,1453.41
2004-09-23,1457.29,1460.68,1370.43,1443.65,12128800,1443.65
2004-09-22,1449.5,1462.2,1449.5,1457.29,26885800,1457.29
2004-09-21,1443.26,1458.68,1370.43,1449.5,23216800,1449.5
2004-09-20,1441.7,1448.79,1370.43,1443.26,13547000,1443.26
2004-09-17,1438.3,1448.06,1370.43,1441.7,12688200,1441.7
2004-09-16,1432.63,1441.6,1370.43,1438.29,14541000,1438.29
2004-09-15,1430.25,1443.05,1430.25,1432.57,18319000,1432.57
2004-09-14,1430.25,1434.06,1419.23,1430.25,16295800,1430.25
2004-09-13,1413.37,1422.45,1413.37,1419.1,11354300,1419.1
2004-09-10,1405.03,1420.46,1370.43,1413.37,10181000,1413.37
2004-09-09,1405.03,1409.46,1370.43,1405.03,9240600,1405.03
2004-09-08,1415.06,1417.5,1403.46,1405.02,5334600,1405.02
2004-09-07,1425.54,1425.73,1370.43,1415.06,7154000,1415.06
2004-09-06,1412.63,1430.97,1370.43,1425.54,20176800,1425.54
2004-09-03,1388.4,1418.47,1370.43,1412.63,22697000,1412.63
2004-09-02,1392.81,1398.5,1370.43,1388.4,4086000,1388.4
2004-09-01,1370.43,1397.39,1370.43,1392.81,6776000,1392.81
2004-08-31,1375.17,1378.82,1370.43,1370.43,8468600,1370.43
2004-08-30,1383.96,1390.59,1375.17,1375.17,3438200,1375.17
2004-08-27,1371.1,1384.75,1368.13,1383.96,21003200,1383.96
2004-08-26,1388.61,1390.13,1371.1,1371.1,6179600,1371.1
2004-08-25,1388.61,1405.72,1378.27,1398.43,6619800,1398.43
2004-08-24,1389.95,1402.89,1378.27,1398.43,15619000,1398.43
2004-08-23,1378.27,1394.41,1378.27,1389.95,14064800,1389.95
2004-08-20,1386.77,1389.18,1375.29,1378.27,9321800,1378.27
2004-08-19,1406.93,1411.54,1386.77,1386.77,11716800,1386.77
2004-08-18,1422.6,1426.16,1406.93,1406.93,10389400,1406.93
2004-08-17,1421.07,1428.72,1391.42,1422.62,7306000,1422.62
2004-08-16,1441.89,1442.11,1391.42,1421.07,10155400,1421.07
2004-08-13,1440.27,1445.36,1391.42,1441.89,10490200,1441.89
2004-08-12,1443.31,1452.79,1391.42,1440.27,11532200,1440.27
2004-08-11,1440.06,1448.34,1391.42,1443.31,11708000,1443.31
2004-08-10,1451.84,1452.49,1391.42,1440.06,13306000,1440.06
2004-08-09,1456.42,1465.13,1391.42,1451.84,16461000,1451.84
2004-08-06,1454.42,1460.62,1454.37,1456.36,18025600,1456.36
2004-08-05,1460.3,1469.05,1438.95,1454.42,23340200,1454.42
2004-08-04,1475.5,1484.75,1460.36,1460.36,57014000,1460.36
2004-08-03,1461.42,1478.67,1391.42,1475.5,75201200,1475.5
2004-08-02,1454.36,1467.62,1391.42,1461.42,62830300,1461.42
2004-07-30,1434.67,1456.22,1391.42,1454.36,43400200,1454.36
2004-07-29,1444.63,1449.99,1391.42,1434.67,35554000,1434.67
2004-07-28,1442.55,1450.19,1391.42,1444.63,36661600,1444.63
2004-07-27,1439.41,1446.77,1391.42,1442.55,31607400,1442.55
2004-07-26,1440.65,1453.04,1391.42,1439.41,36342400,1439.41
2004-07-23,1418.59,1446.53,1391.42,1440.65,21236800,1440.65
2004-07-22,1409.82,1424.06,1391.42,1418.59,13762000,1418.59
2004-07-21,1396.03,1412.28,1396.03,1409.82,21949000,1409.82
2004-07-20,1391.42,1398.15,1387.76,1396.31,14376600,1396.31
2004-07-19,1396.61,1404.85,1390.45,1391.42,17826800,1391.42
2004-07-16,1406.12,1410.12,1396.61,1396.61,16580800,1396.61
2004-07-15,1402.76,1414.22,1402.76,1406.12,21209800,1406.12
2004-07-14,1390.06,1411.83,1390.06,1402.79,33359200,1402.79
2004-07-13,1379.29,1398.29,1375.28,1390.05,21418200,1390.05
2004-07-12,1368.71,1383.11,1368.71,1379.29,10671400,1379.29
2004-07-09,1358.83,1374.45,1358.8,1368.71,30457200,1368.71
2004-07-08,1339.49,1363.3,1336.55,1358.83,22421000,1358.83
2004-07-07,1360.19,1370.06,1327.81,1339.49,18217800,1339.49
2004-07-06,1373.3,1377.68,1358.29,1360.19,8183600,1360.19
